tabName,便捷生活,出行导航,实用工具,影音娱乐,拍摄美化,教育,新闻阅读,旅游住宿,汽车,社交通讯,美食,购物比价,运动健康,金融理财
读取联系人,31,39,34,22,6,16,7,38,20,30,4,30,25,9
读取短信/彩信,6,16,8,5,4,15,4,10,8,4,0,3,8,4
显示在其他应用上面,64,61,70,81,37,66,69,57,42,77,37,66,33,24
修改或删除存储卡中的内容,89,100,99,97,100,99,99,92,56,100,100,91,65,30
访问确切位置信息（使用GPS和网络进行定位）,0,0,0,0,0,0,0,0,0,0,0,0,0,0
访问大致位置信息（使用网络进行定位）,81,98,71,91,61,51,73,94,56,85,77,77,54,24
接收短信,6,13,4,4,1,14,2,9,7,4,1,2,7,5
发送短信,4,12,1,6,1,9,5,9,5,6,2,4,6,3
录制音频,61,64,54,71,31,92,28,46,36,77,41,59,44,28
相机,86,80,66,89,86,84,69,87,56,88,64,84,55,30
读取存储卡中的内容,88,99,99,97,99,99,98,92,54,100,99,90,64,30
读取通话状态和移动网络信息,83,96,89,96,91,90,96,88,55,94,90,85,62,30
接收WAP信息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
读取小区广播消息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
查找设备上的帐号,31,26,26,29,7,27,13,35,18,23,10,13,12,6
新建/修改/删除联系人,10,13,3,1,0,2,1,16,11,5,1,4,10,4
修改系统设置,64,78,40,76,32,59,77,70,45,74,59,68,45,20
新建/修改/删除通话记录,0,2,0,1,0,0,0,2,2,0,1,2,1,0
拨打电话,54,52,4,26,5,18,13,55,39,15,13,26,30,15
