tabName,读取联系人,读取短信/彩信,显示在其他应用上面,修改或删除存储卡中的内容,访问确切位置信息（使用GPS和网络进行定位）,访问大致位置信息（使用网络进行定位）,接收短信,发送短信,录制音频,相机,读取存储卡中的内容,读取通话状态和移动网络信息,接收WAP信息,读取小区广播消息,查找设备上的帐号,新建/修改/删除联系人,修改系统设置,新建/修改/删除通话记录,拨打电话
便捷生活,31,6,64,89,0,81,6,4,61,86,88,83,0,0,31,10,64,0,54
出行导航,39,16,61,100,0,98,13,12,64,80,99,96,0,0,26,13,78,2,52
实用工具,34,8,70,99,0,71,4,1,54,66,99,89,0,0,26,3,40,0,4
影音娱乐,22,5,81,97,0,91,4,6,71,89,97,96,0,0,29,1,76,1,26
拍摄美化,6,4,37,100,0,61,1,1,31,86,99,91,0,0,7,0,32,0,5
教育,16,15,66,99,0,51,14,9,92,84,99,90,0,0,27,2,59,0,18
新闻阅读,7,4,69,99,0,73,2,5,28,69,98,96,0,0,13,1,77,0,13
旅游住宿,38,10,57,92,0,94,9,9,46,87,92,88,0,0,35,16,70,2,55
汽车,20,8,42,56,0,56,7,5,36,56,54,55,0,0,18,11,45,2,39
社交通讯,30,4,77,100,0,85,4,6,77,88,100,94,0,0,23,5,74,0,15
美食,4,0,37,100,0,77,1,2,41,64,99,90,0,0,10,1,59,1,13
购物比价,30,3,66,91,0,77,2,4,59,84,90,85,0,0,13,4,68,2,26
运动健康,25,8,33,65,0,54,7,6,44,55,64,62,0,0,12,10,45,1,30
金融理财,9,4,24,30,0,24,5,3,28,30,30,30,0,0,6,4,20,0,15
